epoch,step,test_loss,train_loss,training_total_time,val_loss
0,6,,,,0.12715260684490204
0,6,,0.1729487031698227,,
1,13,,,,0.11438276618719101
1,13,,0.1357174664735794,,
2,20,,,,0.10342525690793991
2,20,,0.12458796054124832,,
3,27,,,,0.09795112907886505
3,27,,0.11488918960094452,,
4,34,,,,0.09073228389024734
4,34,,0.10588551312685013,,
5,41,,,,0.08620934933423996
5,41,,0.09634580463171005,,
6,48,,,,0.08231742680072784
6,48,,0.08855952322483063,,
7,55,,,,0.07517257332801819
7,55,,0.08190140873193741,,
8,62,,,,0.06913749873638153
8,62,,0.07578172534704208,,
9,69,,,,0.062254149466753006
9,69,,0.06880046427249908,,
10,76,,,,0.05458661913871765
10,76,,0.061195001006126404,,
11,83,,,,0.04894592985510826
11,83,,0.05353577807545662,,
12,90,,,,0.043575674295425415
12,90,,0.0462271012365818,,
13,97,,,,0.03811439126729965
13,97,,0.03932880982756615,,
14,104,,,,0.03380338102579117
14,104,,0.03352295979857445,,
15,111,,,,0.030388029292225838
15,111,,0.027781466022133827,,
16,118,,,,0.0267497505992651
16,118,,0.022922880947589874,,
17,125,,,,0.025075966492295265
17,125,,0.018763922154903412,,
18,132,,,,0.019708804786205292
18,132,,0.015739120543003082,,
19,139,,,,0.018289487808942795
19,139,,0.01319935917854309,,
20,146,,,,0.017903108149766922
20,146,,0.011602030135691166,,
21,153,,,,0.01710541918873787
21,153,,0.010433529503643513,,
22,160,,,,0.01617988385260105
22,160,,0.009714107029139996,,
23,167,,,,0.0166581179946661
23,167,,0.008821721188724041,,
24,174,,,,0.018018748611211777
24,174,,0.0083017498254776,,
25,181,,,,0.01598724164068699
25,181,,0.007705156225711107,,
26,188,,,,0.014215040020644665
26,188,,0.0071914298459887505,,
27,195,,,,0.01636601611971855
27,195,,0.006734345108270645,,
28,202,,,,0.018553663045167923
28,202,,0.006531974766403437,,
29,209,,,,0.013749870471656322
29,209,,0.00628298707306385,,
30,216,,,,0.013177625834941864
30,216,,0.005851292051374912,,
31,223,,,,0.013082924298942089
31,223,,0.005610283929854631,,
32,230,,,,0.013028916902840137
32,230,,0.005242417566478252,,
33,237,,,,0.013930543325841427
33,237,,0.0049090515822172165,,
34,244,,,,0.01339290477335453
34,244,,0.004746505059301853,,
35,251,,,,0.013631975278258324
35,251,,0.004501212388277054,,
36,258,,,,0.014408481307327747
36,258,,0.004218724090605974,,
37,265,,,,0.014333553612232208
37,265,,0.004098477307707071,,
38,272,,,,0.013466831296682358
38,272,,0.0038979211822152138,,
39,279,,,,0.013348178938031197
39,279,,0.0037572530563920736,,
40,286,,,,0.012839499861001968
40,286,,0.0035685847979038954,,
41,293,,,,0.011126401834189892
41,293,,0.003717734944075346,,
42,300,,,,0.012492668814957142
42,300,,0.003333562519401312,,
43,307,,,,0.01243518479168415
43,307,,0.003136868355795741,,
44,314,,,,0.013103250414133072
44,314,,0.0029774224385619164,,
45,321,,,,0.013462626375257969
45,321,,0.0028712733183056116,,
46,328,,,,0.011891077272593975
46,328,,0.002683980856090784,,
47,335,,,,0.01344296708703041
47,335,,0.002761273644864559,,
48,342,,,,0.014734761789441109
48,342,,0.0027246365789324045,,
49,349,,,,0.011761555448174477
49,349,,0.002687676576897502,,
,0,,,1947.9535555839539,
50,350,0.019177721813321114,,,
