epoch,step,test_loss,train_loss,training_total_time,val_loss
0,206,,,,0.027335340157151222
0,206,,0.06462164223194122,,
1,413,,,,0.023001838475465775
1,413,,0.012561234645545483,,
2,620,,,,0.016214212402701378
2,620,,0.008048387244343758,,
3,827,,,,0.012090862728655338
3,827,,0.006071923300623894,,
4,1034,,,,0.017736803740262985
4,1034,,0.004642496816813946,,
5,1241,,,,0.014769202098250389
5,1241,,0.003928604535758495,,
6,1448,,,,0.02295958437025547
6,1448,,0.003250644076615572,,
7,1655,,,,0.018634142354130745
7,1655,,0.0032427459955215454,,
8,1862,,,,0.014107604511082172
8,1862,,0.002721923403441906,,
9,2069,,,,0.01682528294622898
9,2069,,0.0023933202028274536,,
,0,,,528.6184604167938,
10,2070,0.01620461605489254,,,
